GUID:{D1057998-6320-421d-B116-29C7F6D23B06},ObjectType,Stereotype,LSSTRequirements,Version,Name,Notes,ComplianceAssessment,ComplianceMethod,ComplianceStatusSummary,ComplianceDoc,VerificationOwner,RTA,VerificationLevel,VerificationMethod-Primary,VerficationMethod-Secondary,Verification Requirement,Success Criteria,Possible Requirement Changes/Notes
{9626D7E1-51F0-4e9f-91A6-2B75B145C611},Requirement,requirement,DMS-REQ-0271,1,DIAObject Catalog,"Specification: The DMS shall construct a catalog of all astrophysical objects identified through difference image analysis (DIAObjects). The DIAObject entries shall include metadata attributes including at least: a unique identifier; the identifiers of entries in the Object catalog lying within diaNearbyObjRadius, the probability that the DIAObject is the same as the nearby Object; and a set of DIAObject properties.",,,,,DM,,SL,Demonstration,,Run multiple visits through image differencing. Run association pipeline. Verify that DIASources are correctly associated with DIAObjects and DIAObjects correctly associated with Objects. Can use precursor data.,,
{BCD05DB6-4E0A-4de4-915B-0FA61E58AD85},Class,constraintBlock,,1,diaObjectCat,,,,,,,,,,,,,
{1DA3C8D8-E8E1-45fb-8B38-B550030167BB},Requirement,requirement,DMS-REQ-0272,1,DIAObject Attributes,"Specification: For each DIAObject the DMS shall store summary attributes including at least: sky position at the time of the observation; astrometric attributes including proper motion, parallax and related errors; point-source magnitude in each passband and related error; weighted mean forced-photometry flux and related error; periodic and non-periodic variability measures; and flags that encode special conditions encountered in measuring the above quantities.",,,,,DM,,SL,Demonstration,,Compare contents of table populated in DMS-REQ- 0271 with DPDD.,,
{3E0BAB43-ACF3-47ab-8ECD-8D85805415D8},Requirement,requirement,DMS-REQ-0273,1,SSObject Catalog,"Specification: The DMS shall produce a catalog of all Solar System Objects (SSObjects) that have been identified via Moving Object Processing. The SSObject catalog shall include for each entry attributes including at least the following: Osculating orbital elements and associated uncertainties, minimum orbit intersection distance (MOID), mean absolute magnitude and slope parameter per band and associated errors, and flags that describe conditions of the description. Discussion: The magnitude and angular velocity limits for identifying SSObjects are TBD. These limits may be driven more by computational resource constraints than by the raw reach of the collected data. The software may well be capable of exceeding the required limits, but at an unacceptable cost.",,,,,DM,,HL,Demonstration,,"We might be able to demonstrate this by providing  calculated positions of known asteroids to MOPS and then checking the SSObject table. Better, use data from precursor surveys. Also use full simulations with injected asteroids. Final verification requires a mini-survey of LSST.",,
{AAEBC6E8-704D-4e7f-A572-C9A33B033288},Requirement,requirement,DMS-REQ-0317,1,DIAForcedSource Catalog,"Specification: The DMS shall create a DIAForcedSource Catalog, consisting of measured fluxes for entries in the DIAObject Catalog on Difference Exposures. Measurements for each forced-source shall include the DIAObject and visit IDs, the modeled flux and error (given fixed position, shape, and deblending parameters), and measurement quality flags. Discussion: The large number of such forced sources makes it impractical to measure more attributes than are necessary to construct a light curve for variability studies.",,,,,DM,,SL,Demonstration,,"From precursor data reduced with difference imaging,  calculate forced sources and insert into table. Verify content of table against DPDD.",,
{76AF2679-CF36-4ce8-834F-D043F2682C82},Requirement,requirement,DMS-REQ-0274,1,Alert Content,"Specification: The DMS shall create an Alert for each detected DIASource, to be broadcast using community protocols, with content that includes: a unique Alert ID, the Level-1 database ID, the DIASource record that triggered the alert, the DIAObject (or SSObject) record, all previous DIASource records corresponding to the object (if any), and cut-outs of images of sufficient areal coverage to identify the DIASource and its immediate surroundings. Discussion: The aim for the Alert content is to include sufficient information to be relatively self-contained, and to minimize the demand for follow-up queries of the Level-1 database. This approach will likely increase the speed and efficiency of down-stream object classifiers.",,,,,DM,,SL,Demonstration,,"Interpret this as a full end to end test of L1, rather than the ability to publish alerts from a DIASources catalog. Compare contents of DIASources catalog with contents of alert stream.",,
{660F7BB8-F6DA-4d7c-AEBD-A07A43AF9438},Requirement,requirement,DMS-REQ-0097,1.1,Level 1 Data Quality Report Definition,"Specification: The DMS shall produce a Level 1 Data Quality Report that contains indicators of data quality that result from running the DMS pipelines, including at least: Photometric zero point vs. time for each utilized filter; Sky brightness vs. time for each utilized filter; seeing vs. time for each utilized filter; PSF parameters vs. time for each utilized filter; detection efficiency for point sources vs. mag for each utilized filter.Discussion: The seeing report is intended as a broad-brush measure of image quality.  The PSF parameters provide more detail, as they include asymmetries and field location dependence.",,,,,DM,,SL,Demonstration,,"Run multiple visits through the L1 pipeline (can start with raw data files), check that report is created. The report is a dynamic UI as well as a static document.",,
{31768340-512D-435d-846E-1BC5378020FB},Requirement,requirement,DMS-REQ-0099,1,Level 1 Performance Report Definition,"Specification: The DMS shall produce a Level 1 Performance Report that provides indicators of how the DMS has performed in processing the night's observations, including at least: number of observations successfully processed through each pipeline; number of observations for each pipeline that had recoverable failures (with a record of the failure type and recovery mechanism); number of observations for each pipeline that had unrecoverable failures; number of observations archived at each DMS Facility; number of observations satisfying the science criteria for each active science program.",,,,,DM,,SL,Demonstration,,"Run multiple visits through the L1 pipeline (can start with raw data files; optimally an entire night), check that report is created. The report is a dynamic UI as well as a static document.",,
{77DDC1E2-9176-406f-8DD4-959FB44EB0D2},Requirement,requirement,DMS-REQ-0101,1,Level 1 Calibration Report Definition,"Specification: The DMS shall produce a Level 1 Calibration Report that provides a summary of significant differences in Calibration Images that may indicate evolving problems with the telescope or camera, including a nightly broad-band flat in each filter.",,,,,DM,,SL,Demonstration,,"Using precursor and simulated calibration data, run the L1 calibration pipeline and check report. The report is dynamic and triggers alerts if calibrations go out of range. Check a static report is created.",,
{EBA6BC34-DBC8-4c1d-9644-BC64A060A6B8},Requirement,requirement,DMS-REQ-0267,1,Source Catalog,"Specification: The DMS shall create a Catalog containing all Sources detected in single (standard) visits and on Co-Adds, and will contain an identifier of the Exposure on which the Source was detected, as well as measurements of Source Attributes. The measured attributes (and associated errors) include location on the focal plane; a static point-source model fit to world coordinates and flux; a centroid and adaptive moments; and surface brightnesses through elliptical multiple apertures that are concentric, PSF-homogenized, and logarithmically spaced in intensity.",,,,,DM,,SL,Demonstration,,First L2 requirement. Can be done with precursor data. At minimum two visits of the same field and filter and one coadd.,,
{9EFF9797-55AA-456f-B727-267AFB365F80},Requirement,requirement,DMS-REQ-0275,1,Object Catalog,"Specification: The DMS shall create an Object Catalog, based on sources deblended based on knowledge of CoaddSource, Source, DIASource, DIAObject, and SSObject Catlogs, after multi-epoch spatial association and characterization.",,,,,DM,,SL,Demonstration,,Precursor data spread across multiple epochs. Must contain SSObjects and DIASources. Must be coaddable. Can be single filter. Must verify Object catalog,,
{087EAD33-6966-43a9-9D91-C9C7B33BC90E},Requirement,requirement,DMS-REQ-0276,1,Object Characterization,"Specification: Each entry in the Object Catalog shall include the following characterization measures: a point-source model fit, a bulge-disk model fit, standard colors, a centroid, adaptive moments, Petrosian and Kron fluxes, surface brightness at multiple apertures, and a variability characterization. Discussion: These measurements are intended to enable LSST ""static sky"" science.",,,,,DM,,SL,Inspection,,For each object in DMS-REQ-0275 verify that the characterization measures are defined.,,
{950C3ECD-25AF-428f-A932-F46507671C30},Requirement,requirement,DMS-REQ-0046,1,Provide Photometric Redshifts of Galaxies,Specification: The DMS shall compute a photometric redshift for all detected Objects.,,,,,DM,,SL,Inspection,,Verify that the Object table has a photometric redshift for each object.,,
{9A5C8349-4073-4eb3-B042-C2B12C91316C},Requirement,requirement,DMS-REQ-0034,1,Associate Sources to Objects,"Specification: The DMS shall associate sources measured at different times and in different passbands into data structures that describe astrophysical objects.Discussion: The task of association is to relate sources from different times, filters, and sky positions, into data structures that describe astrophysical objects. Having made these associations, further measurements can be made on the full object data to generate astronomically useful quantities.",,,,,DM,,SL,Demonstration,,"Precursor data. Different filters, sky positions and epochs. L2 processing. Verify object association.",,
{6C3B7DF5-5F37-4722-BD00-433F137DA561},Requirement,requirement,DMS-REQ-0279,1,Deep Detection Coadds,"Specification: The DMS shall periodicaly create Co-added Images in each of the u,g,r,i,z,y passbands by combining all archived exposures taken of the same region of sky and in the same passband that meet specified quality conditions. Discussion: Quality attributes may include thresholds on seeing, sky brightness, wavefront quality, PSF shape and spatial variability, or date of exposure.",,,,,DM,,SL,Demonstration,,Precursor data. Multi filter. System should automatically trigger co-add processing and filter out poor data. Timescale for this should be configurable. Add more data and verify coadd has been changed.,,
{06E9CE55-02BC-43f6-8019-7E646A9EBADA},Requirement,requirement,DMS-REQ-0280,1,Template Coadds,"Specification: The DMS shall periodically create Template Images in each of the u,g,r,i,z,y passbands that are constructed identically to Deep Detection Coadds, but where the contributing Calibrated Exposures are limited to a range of observing epochs templateMaxTimespan, the images are partitioned by airmass into multiple bins, and where the quality criteria may be different. Discussion: Image Templates are used by the Image Difference pipeline in the course of identifying transient or variable sources. The range of epochs must be limited to avoid confusing slowly moving sources (such as high proper motion stars) with genuine transients. It is anticipated that separate templates will be created in each passband for 3 separate ranges of airmass.",,,,,DM,,SL,Demonstration,,"Precursor data. Not obvious this has to be demonstrated with all filters. Is ""periodic"" manual or automated? Much like DMS-REQ-0279 with different constraints. Demonstrate that templates are created with appropriate bins.",,
{CE8FD0B5-3051-488a-A7D3-62EB7C20A033},Class,constraintBlock,,1,templateCoadds,,,,,,,,,,,,,
{5DFA5346-5C56-4bb8-A97C-379632477DF1},Requirement,requirement,DMS-REQ-0281,1,Multi-band Coadds,"Specification: The DMS shall periodically create Multi-band Coadd images which are constructed similarly to Deep Detection Coadds, but where all passbands are combined. Discussion: The multi-color Coadds are intended for very deep detection.",,,,,DM,,SL,Demonstration,,Like DMS-REQ-0279 with different constraints.,,
{139B1F06-14F8-49ad-A8D5-E7B756F3AE0E},Requirement,requirement,DMS-REQ-0278,1,Coadd Image Attributes,"Specification: Coadd Images shall be created by combining spatially overlapping Processed Exposures (on which bad pixels and transient sources have been masked), where the contributing Exposures have been re-projected to a common reference geometry, and matched to a common background level which best approximates the astrophysical background.",,,,,DM,,SL,Demonstration,,This is like DMS-REQ-0279 but specifically for overlapping spatial visits and describing HOW it should be done. Verify that the images are on the required output grid.,,
{595895D1-622F-45a6-B10E-A5D387A152A6},Requirement,requirement,DMS-REQ-0047,1,Provide PSF for Coadded Images,"Specification: The DMS shall determine a characterization of the PSF for any specified location in coadded images.Discussion: The PSF model will be primarily used to perform initial object characterization and bootstrapping of multi-epoch object characterization (e.g., Multifit).",,,,,DM,,SL,Demonstration,,"From a coadd, request the PSF from every pixel. Does not require that the PSF varies.",,
{C62F4E99-119E-4acc-A4D7-3EA82741C96F},Requirement,requirement,DMS-REQ-0106,1,Coadded Image Provenance,"Specification: For each Coadded Image, DMS shall store: the list of input images and the pipeline parameters used to derive it, and a sufficient set of metadata attributes for users to re-create them in whole or in part.Discussion: Not all coadded image types will be made available to end-users or retained for the life of the survey; however. sufficient metadata will be preserved so that they may be recreated by end-users.",,,,,DM,,SL,Demonstration,,Given a coadd downloaded from the archive. Request provenance information. Regenerate coadd. Compare download with newly created coadd. Can this use the L3 system?,,
{822CE6E1-FD59-41e3-A269-9D26FE3994FA},Requirement,requirement,DMS-REQ-0277,1,Coadd Source Catalog,"Specification: The DMS shall, in the course of creating the master Source Catalog, create a catalog of all sources detected in each passband with a SNR &gt; coaddDetectThresh. Discussion: Coadd Sources are in general composites of overlapping astrophysical objects. This catalog is an intermediate product in DR production, and will not be permanently archived nor released to end-users.",,,,,DM,,SL,Demonstration,,Precursor data. Do a miniDRP and verify that a source catalog is created at that threshold. It's not clear why we have a requirement for a transient internal catalog.,,
{55172392-74F0-47ca-9FAA-B35104976B36},Class,constraintBlock,,1,coaddSourceCat,,,,,,,,,,,,,
{867AE59D-F3C6-428c-9C79-6811A5E42E32},Requirement,requirement,DMS-REQ-0268,1,Forced-Source Catalog,"Specification: The DMS shall create a Forced-Source Catalog, consisting of measured fluxes for all entries in the Object Catalog on all Calibrated Exposures. Measurements for each forced-source shall include the object and visit IDs, the modelled flux and error (given fixed position, shape, and deblending parameters), and measurement quality flags. Discussion: The large number of Forced Sources makes it impractical to measure more attributes than are necessary to construct a light curve for variability studies.",,,,,DM,,SL,Demonstration,,With the precursor data verify that forced source table is created from all calibrated exposures.,,
{814C188C-3B2A-424c-906F-30EC2D00E6E9},Requirement,requirement,DMS-REQ-0103,1,Produce Images for EPO,"Specification: The DMS shall produce images for EPO purposes, according to the requirements in the DM-EPO ICD.Discussion: This is expected to include polychromatic (e.g., RGB JPEG) images for casual users.",,,,,EPO,,SL,Demonstration,,"Requirement is too vague and open-ended. Might include healpix RGB multi-scale images. Might just be coadds? Is generation under control of EPO for ""on demand"" generation? Or are they part of DRP? This requirement needs to be removed and replaced with real requirements from EPO.",,
{6C9DB592-D6D4-4bac-9ED6-F006D0A72CC5},Requirement,requirement,DMS-REQ-0130,1,Calibration Data Products,"Specification: The DMS shall produce and archive Calibration Data Products that capture the signature of the telescope, camera and detector, including at least: Crosstalk correction matrix, Bias and Dark correction frames, a set of monochromatic dome flats spanning the wavelength range, a synthetic broad-band flat per filter, and an illumination correction frame per filter.",,,,,DM,,SL,Demonstration,,"For every calibration mode, prove that the data can be processed. Can be done with simulated data and that from the auxilliary telescope. Will need to be redone with real LSST camera data.",,
{FE168183-7F2A-4552-927B-F72E36191FB8},Requirement,requirement,DMS-REQ-0132,1,Calibration Image Provenance,"Specification: For each Calibration Production data product, DMS shall record: the list of input exposures and the range of dates over which they were obtained; the processing parameters; the calibration products used to derive it; and a set of metadata attributes including at least: the date of creation; the calibration image type (e.g. dome flat, superflat, bias, etc); the provenance of the processing software; and the instrument configuration including the filter in use, if applicable.",,,,,DM,,SL,Demonstration,,Can be done with precursor or simulated data. Verify that provenance information is present.,,
{22D0E04A-36E3-41e4-A9AE-F488A133B1AD},Requirement,Functional,DMS-REQ-0059,1,Bad Pixel Map,"Specification: The DMS shall produce on an as-needed basis a map of detector pixels that are affected by one or more pathologies, such as non-responsive pixels, charge traps, and hot pixels. The particular pathologies shall be bit-encoded in 32-bit pixel values, so that additional pathologies may also be recorded in down-stream processing software.Discussion: The fraction of bad pixels is expected to be small. Therefore the Reference Map, while logically equivalent to an image, may be stored in a more compressible form.",,,,,DM,,SL,Demonstration,,"32bits is a minimum requirement. To verify we need to check that it is at least 32-bit. The product is an image file in unspecified format. (May want an additional requirement that these data can also be visualized directly on a web page as part of SUIT). Request the map for any date, compare with camera team understanding.",,
{DBFD3B6B-DA73-4c29-938E-50F48B579BA0},Requirement,Functional,DMS-REQ-0060,1,Bias Residual Image,"Specification: The DMS shall construct on an as-needed basis an image that corrects for any temporally stable bias structure that remains after overscan correction. The Bias Residual shall be constructed from multiple, zero-second exposures where the overscan correction has been applied.",,,,,DM,,SL,Demonstration,,"Can be done with simulated raw calibration data. Need to define whether ""as-needed"" is manual trigger or automation. Can this be done with the camera in the lab?",,
{E3749542-A9A8-4386-A9FC-4E3288FDF50C},Requirement,Functional,DMS-REQ-0061,1,Crosstalk Correction Matrix,"Specification: The DMS shall, on an as-needed basis, determine from appropriate calibration data what fraction of the signal detected in any given amplifier on each sensor in the focal plane appears in any other amplifier, and shall record that fraction in a correction matrix. The applicability of the correction matrix shall be verified in production processing on science data.Discussion: The frequency with which the Cross-talk Correction Matrix must be computed will be determined during Commissioning and monitored during operations.",,,,,DM,,SL,Demonstration,,"Needs commissioning data to determine ""as-needed"" timeline. Can demonstrate algorithms prior to commissioning by taking darks in the lab.",,
{37947B7B-0E7E-4879-B332-85804EBAA13D},Requirement,requirement,DMS-REQ-0282,1,Dark Current Correction Frame,"Specification: The DMS shall produce on an as-needed basis a dark current correction image, which is constructed from multiple, closed-shutter exposures of appropriate duration. The effectiveness of the Dark Correction shall be verified in production processing on science data. Discussion: The need for a dark current correction will have to be quantified during Commissioning. Collecting closed-dome dark exposures may be deemed necessary to monitor the health of the detectors, even if not used in calibration processing.",,,,,DM,,SL,Demonstration,,Can demonstrate dark processing with camera in lab and with simulated dark data.,,
{6D1F0FBB-F5B4-4a3d-8827-5E65733A02A1},Requirement,Functional,DMS-REQ-0063,1,Monochromatic Flatfield Data Cube,"Specification: The DMS shall produce on an as-needed basis an image that corrects for the color-dependent, pixel-to-pixel non-uniformity in the detector response. The images in the cube shall be constructed from exposures at multiple wavelengths of a uniformly illuminated source. The effectiveness of the flat-field shall be verified in production processing on science data.Discussion: Monochromatic flat-fields are expected to be produced no more frequently than monthly, owing to the time required to obtain the exposures.",,,,,DM,,HL,Demonstration,,Needs a real camera during commissioning and data taken in the correct mode. Possibly can be done with simulated data and lab measurements.,,
{408A2329-EB7C-4316-9B15-EC3EE3507D07},Requirement,Functional,DMS-REQ-0062,1,Illumination Correction Frame,"Specification: The DMS shall produce on an as-needed basis an image that corrects for the non-uniform illumination of the flat-field calibration apparatus on the focal plane. The effectiveness of the Illumination Correction shall be verified in production processing on science data.Discussion: The Illumination correction is anticipated to be quite stable. Updates to the correction should be no more frequent than monthly.",,,,,DM,,HL,Demonstration,,Needs a real camera during commissioning and data taken in the correct mode. Can possibly be done prior to commissioning with simulated data.,,
{8769C59D-C71A-4b0d-8197-E63BB0D35EDA},Requirement,requirement,DMS-REQ-0283,1,Fringe Correction Frame,"Specification: The DMS shall produce on an as-needed basis an image that corrects for detector fringing. The effectiveness of the Fringe Correction shall be verified in production processing on science data. Discussion: Fringing is likely to affect only the reddest filters, where the CCD substrate becomes semi-transparent to incident light.",,,,,DM,,HL,Demonstration,,Needs a real camera during commissioning and data taken in the correct mode. Can possibly be done prior to commissioning with simulated data.,,
